seed,DX,D_diff,time,error
11,0.11,100.0,0.26,0.45108004900215315
11,0.11,100.0,0.28,0.4453714509284656
11,0.11,100.0,0.3,0.4484180332531653
11,0.11,100.0,0.32,0.44962173839386155
11,0.11,100.0,0.34,0.45683544699003714
11,0.11,100.0,0.36,0.43967549625822683
11,0.11,100.0,0.38,0.4378990451137585
11,0.11,100.0,0.4,0.459916632729877
11,0.11,100.0,0.42,0.4576934776948731
11,0.11,100.0,0.44,0.45987602899346797
11,0.11,100.0,0.46,0.44650357051345074
11,0.11,100.0,0.48,0.44401899290626906
11,0.11,100.0,0.5,0.4462532193790377
11,0.11,100.0,0.52,0.4527036471404118
11,0.11,100.0,0.54,0.4401083731392497
11,0.11,100.0,0.56,0.44310912469842406
11,0.11,100.0,0.58,0.44814694108802616
11,0.11,100.0,0.6,0.4451720740081471
11,0.11,100.0,0.62,0.44391557201390797
11,0.11,100.0,0.64,0.4579643911128867
11,0.11,100.0,0.66,0.45903676193912285
11,0.11,100.0,0.68,0.4303781919753992
11,0.11,100.0,0.7000000000000001,0.4128442345681209
11,0.11,100.0,0.72,0.4156995970925706
11,0.11,100.0,0.74,0.4107485894088547
12,0.11,0.0,0.0,0.4321852068937391
12,0.11,0.0,0.02,0.4362526213351453
12,0.11,0.0,0.04,0.437276046571698
12,0.11,0.0,0.06,0.40786564997062325
12,0.11,0.0,0.08,0.3972541589161568
12,0.11,0.0,0.1,0.39523986103363595
12,0.11,0.0,0.12,0.39912401124646885
12,0.11,0.0,0.14,0.39526735996044327
12,0.11,0.0,0.16,0.3908811898154261
12,0.11,0.0,0.18,0.3912506054733429
12,0.11,0.0,0.2,0.3885557404958036
12,0.11,0.0,0.22,0.3883738871943288
12,0.11,0.0,0.24,0.3816827860372526
12,0.11,0.0,0.26,0.3777709319099166
12,0.11,0.0,0.28,0.38424025568285425
12,0.11,0.0,0.3,0.39393089067447445
12,0.11,0.0,0.32,0.39138908117240384
12,0.11,0.0,0.34,0.39399925275816844
12,0.11,0.0,0.36,0.387871548530419
12,0.11,0.0,0.38,0.38301958880857395
12,0.11,0.0,0.4,0.3833068393577632
12,0.11,0.0,0.42,0.38263412257616186
12,0.11,0.0,0.44,0.38416364511624906
12,0.11,0.0,0.46,0.3868933818781526
12,0.11,0.0,0.48,0.3849391453808332
12,0.11,0.0,0.5,0.37992200690056466
12,0.11,0.0,0.52,0.37838865226606927
12,0.11,0.0,0.54,0.38469870333381273
12,0.11,0.0,0.56,0.3868134117603275
12,0.11,0.0,0.58,0.3892112432997231
12,0.11,0.0,0.6,0.3900347712465138
12,0.11,0.0,0.62,0.3901625247252627
12,0.11,0.0,0.64,0.3880680665412924
12,0.11,0.0,0.66,0.38988603237029257
12,0.11,0.0,0.68,0.39139075845892635
