p,D,seed,DX,D_diff,time,error
0.0,0.0,12,0.08928571428571427,30.0,0.26,0.21306445091336493
0.0,0.0,12,0.08928571428571427,30.0,0.27,0.21989810413952962
0.0,0.0,12,0.08928571428571427,30.0,0.28,0.22698534022443792
0.0,0.0,12,0.08928571428571427,30.0,0.29,0.23002388911337573
0.0,0.0,12,0.08928571428571427,30.0,0.3,0.23337520013916235
0.0,0.0,12,0.08928571428571427,30.0,0.31,0.23422302347798113
0.0,0.0,12,0.08928571428571427,30.0,0.32,0.22462327268667953
0.0,0.0,12,0.08928571428571427,30.0,0.33,0.22050188513479432
0.0,0.0,12,0.08928571428571427,30.0,0.34,0.22248344261949501
0.0,0.0,12,0.08928571428571427,30.0,0.35000000000000003,0.22163778656436256
0.0,0.0,12,0.08928571428571427,30.0,0.36,0.2246286451901042
0.0,0.0,12,0.08928571428571427,30.0,0.37,0.2243393292439291
0.0,0.0,12,0.08928571428571427,30.0,0.38,0.22514836394714705
0.0,0.0,12,0.08928571428571427,30.0,0.39,0.22771818499175397
0.0,0.0,12,0.08928571428571427,30.0,0.4,0.2271271889679531
0.0,0.0,12,0.08928571428571427,30.0,0.41000000000000003,0.22595331120111675
0.0,0.0,12,0.08928571428571427,30.0,0.42,0.2240649570085755
0.0,0.0,12,0.08928571428571427,30.0,0.43,0.21737097078074485
0.0,0.0,12,0.08928571428571427,30.0,0.44,0.21775954125367983
0.0,0.0,12,0.08928571428571427,30.0,0.45,0.21597503772502732
0.0,0.0,12,0.08928571428571427,30.0,0.46,0.21565162969503238
0.0,0.0,12,0.08928571428571427,30.0,0.47000000000000003,0.21813685714633613
0.0,0.0,12,0.08928571428571427,30.0,0.48,0.2204765186649669
0.0,0.0,12,0.08928571428571427,30.0,0.49,0.22136993394811735
0.0,0.0,12,0.08928571428571427,30.0,0.5,0.21991188466735168
0.0,0.0,12,0.08928571428571427,30.0,0.51,0.21911029366155985
0.0,0.0,12,0.08928571428571427,30.0,0.52,0.21629367400078472
0.0,0.0,12,0.08928571428571427,30.0,0.53,0.2133071306560364
0.0,0.0,12,0.08928571428571427,30.0,0.54,0.21246248943903123
0.0,0.0,12,0.08928571428571427,30.0,0.55,0.21712769989519823
0.0,0.0,12,0.08928571428571427,30.0,0.56,0.22540868852321863
0.0,0.0,12,0.08928571428571427,30.0,0.5700000000000001,0.222030286779262
0.0,0.0,12,0.08928571428571427,30.0,0.58,0.21943291741102794
0.0,0.0,12,0.08928571428571427,30.0,0.59,0.22571437680344925
0.0,0.0,12,0.08928571428571427,30.0,0.6,0.22548380133783202
0.0,0.0,12,0.08928571428571427,30.0,0.61,0.22895843731333843
0.0,0.0,12,0.08928571428571427,30.0,0.62,0.23313829592393484
0.0,0.0,12,0.08928571428571427,30.0,0.63,0.22825730580946585
0.0,0.0,12,0.08928571428571427,30.0,0.64,0.2237242081012584
0.0,0.0,12,0.08928571428571427,30.0,0.65,0.22448168574898536
0.0,0.0,12,0.08928571428571427,30.0,0.66,0.2247137711270048
0.0,0.0,12,0.08928571428571427,30.0,0.67,0.22665756756305822
0.0,0.0,12,0.08928571428571427,30.0,0.68,0.23256020397121954
0.0,0.0,12,0.08928571428571427,30.0,0.6900000000000001,0.22772205335855691
0.0,0.0,12,0.08928571428571427,30.0,0.7000000000000001,0.2270777758793636
0.0,0.0,12,0.08928571428571427,30.0,0.71,0.23354203532904724
0.0,0.0,12,0.08928571428571427,30.0,0.72,0.23816411713577026
0.0,0.0,12,0.08928571428571427,30.0,0.73,0.22524872729164244
0.0,0.0,12,0.08928571428571427,30.0,0.74,0.22399126935112257
0.0,0.0,12,0.08928571428571427,30.0,0.75,0.22300952734534513
0.0,0.0,12,0.08928571428571427,40.0,0.0,0.46210742043082775
0.0,0.0,12,0.08928571428571427,40.0,0.01,0.4343722943563423
0.0,0.0,12,0.08928571428571427,40.0,0.02,0.39656555454346637
