seed,DX,D_diff,time,error,mean
14,0.15,100.0,0.42,0.426737611428345,0.41183497611122055
14,0.15,100.0,0.44,0.427031863166545,0.41183497611122055
14,0.15,100.0,0.46,0.4268848930178242,0.41183497611122055
14,0.15,100.0,0.48,0.4270109573863334,0.41183497611122055
14,0.15,100.0,0.5,0.4271988489393774,0.41183497611122055
14,0.15,100.0,0.52,0.4273841082211897,0.41183497611122055
14,0.15,100.0,0.54,0.4276510734503505,0.41183497611122055
14,0.15,100.0,0.56,0.4281106186122088,0.41183497611122055
14,0.15,100.0,0.58,0.4279587577562252,0.41183497611122055
14,0.15,100.0,0.6,0.427768724099326,0.41183497611122055
14,0.15,100.0,0.62,0.4271553468570058,0.41183497611122055
14,0.15,100.0,0.64,0.4271923524982148,0.41183497611122055
14,0.15,100.0,0.66,0.4275386044103135,0.41183497611122055
14,0.15,100.0,0.68,0.4279734177392242,0.41183497611122055
14,0.15,100.0,0.7000000000000001,0.428818003528602,0.41183497611122055
14,0.15,100.0,0.72,0.4292548491069441,0.41183497611122055
14,0.15,100.0,0.74,0.4292967929245347,0.41183497611122055
10,0.2,0.0,0.0,0.3892198932485389,0.2965800570536289
10,0.2,0.0,0.02,0.3555030497639153,0.2965800570536289
10,0.2,0.0,0.04,0.3218830889764098,0.2965800570536289
10,0.2,0.0,0.06,0.3445514515791484,0.2965800570536289
10,0.2,0.0,0.08,0.3370867930320341,0.2965800570536289
10,0.2,0.0,0.1,0.3230893509100859,0.2965800570536289
10,0.2,0.0,0.12,0.3109916217640694,0.2965800570536289
10,0.2,0.0,0.14,0.2983274804826407,0.2965800570536289
10,0.2,0.0,0.16,0.2936405514361275,0.2965800570536289
10,0.2,0.0,0.18,0.2858192648462586,0.2965800570536289
10,0.2,0.0,0.2,0.2825236778856938,0.2965800570536289
10,0.2,0.0,0.22,0.2826639758580522,0.2965800570536289
10,0.2,0.0,0.24,0.2846842943200341,0.2965800570536289
10,0.2,0.0,0.26,0.2851495165455183,0.2965800570536289
10,0.2,0.0,0.28,0.2885136444357729,0.2965800570536289
10,0.2,0.0,0.3,0.2907537718763814,0.2965800570536289
10,0.2,0.0,0.32,0.2902146153397274,0.2965800570536289
10,0.2,0.0,0.34,0.2988730683633144,0.2965800570536289
10,0.2,0.0,0.36,0.2932422357992765,0.2965800570536289
10,0.2,0.0,0.38,0.2877920791853163,0.2965800570536289
10,0.2,0.0,0.4,0.2793739008880686,0.2965800570536289
10,0.2,0.0,0.42,0.2750934969891547,0.2965800570536289
10,0.2,0.0,0.44,0.2758769414812551,0.2965800570536289
10,0.2,0.0,0.46,0.2780915245470987,0.2965800570536289
10,0.2,0.0,0.48,0.2758192594331302,0.2965800570536289
10,0.2,0.0,0.5,0.2781194585747547,0.2965800570536289
10,0.2,0.0,0.52,0.2828644389058165,0.2965800570536289
10,0.2,0.0,0.54,0.28323627874099,0.2965800570536289
10,0.2,0.0,0.56,0.2801351513482435,0.2965800570536289
10,0.2,0.0,0.58,0.2756595198283129,0.2965800570536289
10,0.2,0.0,0.6,0.2787618548941475,0.2965800570536289
10,0.2,0.0,0.62,0.2758340519289469,0.2965800570536289
10,0.2,0.0,0.64,0.2800469665634389,0.2965800570536289
10,0.2,0.0,0.66,0.2840800154396935,0.2965800570536289
10,0.2,0.0,0.68,0.291112619161011,0.2965800570536289
10,0.2,0.0,0.7000000000000001,0.2852252952412938,0.2965800570536289
10,0.2,0.0,0.72,0.2799081385255567,0.2965800570536289
10,0.2,0.0,0.74,0.2852634169954389,0.2965800570536289
10,0.2,5.0,0.0,0.3937177937517037,0.2836560600878235
10,0.2,5.0,0.02,0.3503372979792039,0.2836560600878235
10,0.2,5.0,0.04,0.3414596123146305,0.2836560600878235
10,0.2,5.0,0.06,0.3340379203455174,0.2836560600878235
10,0.2,5.0,0.08,0.3202797068131555,0.2836560600878235
10,0.2,5.0,0.1,0.2998899399036784,0.2836560600878235
10,0.2,5.0,0.12,0.2943870418210353,0.2836560600878235
10,0.2,5.0,0.14,0.2912886224667567,0.2836560600878235
10,0.2,5.0,0.16,0.2883220113302437,0.2836560600878235
10,0.2,5.0,0.18,0.2778400757861695,0.2836560600878235
10,0.2,5.0,0.2,0.274081194934111,0.2836560600878235
10,0.2,5.0,0.22,0.2701553658864304,0.2836560600878235
10,0.2,5.0,0.24,0.2658472834659898,0.2836560600878235
10,0.2,5.0,0.26,0.2660438937284667,0.2836560600878235
10,0.2,5.0,0.28,0.2610975860047967,0.2836560600878235
10,0.2,5.0,0.3,0.2605622868766773,0.2836560600878235
10,0.2,5.0,0.32,0.26319157066972,0.2836560600878235
10,0.2,5.0,0.34,0.2579602346629958,0.2836560600878235
10,0.2,5.0,0.36,0.2515047082446524,0.2836560600878235
10,0.2,5.0,0.38,0.2514243833469631,0.2836560600878235
10,0.2,5.0,0.4,0.2542660437200461,0.2836560600878235
10,0.2,5.0,0.42,0.2504518842456845,0.2836560600878235
10,0.2,5.0,0.44,0.2499922384921092,0.2836560600878235
10,0.2,5.0,0.46,0.2525084310107591,0.2836560600878235
10,0.2,5.0,0.48,0.2545627571840321,0.2836560600878235
10,0.2,5.0,0.5,0.2528887097402239,0.2836560600878235
10,0.2,5.0,0.52,0.2510693786559824,0.2836560600878235
10,0.2,5.0,0.54,0.2575416632696504,0.2836560600878235
10,0.2,5.0,0.56,0.2574439005485022,0.2836560600878235
10,0.2,5.0,0.58,0.2530103047728638,0.2836560600878235
10,0.2,5.0,0.6,0.2516028415038712,0.2836560600878235
10,0.2,5.0,0.62,0.2493815166986626,0.2836560600878235
10,0.2,5.0,0.64,0.2477093386198006,0.2836560600878235
10,0.2,5.0,0.66,0.2550003703994771,0.2836560600878235
10,0.2,5.0,0.68,0.2514969003110655,0.2836560600878235
10,0.2,5.0,0.7000000000000001,0.2415564850403348,0.2836560600878235
10,0.2,5.0,0.72,0.2366287675895562,0.2836560600878235
10,0.2,5.0,0.74,0.2413951605076211,0.2836560600878235
10,0.2,10.0,0.0,0.3917429563746564,0.2935785152952781
10,0.2,10.0,0.02,0.3500416343625332,0.2935785152952781
10,0.2,10.0,0.04,0.3565570626452989,0.2935785152952781
10,0.2,10.0,0.06,0.3618346758224326,0.2935785152952781
10,0.2,10.0,0.08,0.3696238028062322,0.2935785152952781
10,0.2,10.0,0.1,0.3709456651006448,0.2935785152952781
10,0.2,10.0,0.12,0.3653170507746663,0.2935785152952781
10,0.2,10.0,0.14,0.3605460115707498,0.2935785152952781
10,0.2,10.0,0.16,0.347721121140886,0.2935785152952781
10,0.2,10.0,0.18,0.3314269891004377,0.2935785152952781
10,0.2,10.0,0.2,0.32080762874823,0.2935785152952781
10,0.2,10.0,0.22,0.3161296679260432,0.2935785152952781
10,0.2,10.0,0.24,0.3134460432702262,0.2935785152952781
10,0.2,10.0,0.26,0.3074277365567538,0.2935785152952781
10,0.2,10.0,0.28,0.3035610830836449,0.2935785152952781
10,0.2,10.0,0.3,0.2950873771991573,0.2935785152952781
10,0.2,10.0,0.32,0.2909964940004532,0.2935785152952781
10,0.2,10.0,0.34,0.2874032085119151,0.2935785152952781
10,0.2,10.0,0.36,0.2878930973408456,0.2935785152952781
10,0.2,10.0,0.38,0.2846870316029455,0.2935785152952781
10,0.2,10.0,0.4,0.2782722826835438,0.2935785152952781
10,0.2,10.0,0.42,0.2790496583086133,0.2935785152952781
10,0.2,10.0,0.44,0.2738066441147743,0.2935785152952781
10,0.2,10.0,0.46,0.2694800149589994,0.2935785152952781
10,0.2,10.0,0.48,0.2647107587196887,0.2935785152952781
10,0.2,10.0,0.5,0.2596265103544667,0.2935785152952781
10,0.2,10.0,0.52,0.2518811119923193,0.2935785152952781
10,0.2,10.0,0.54,0.2674844429213523,0.2935785152952781
10,0.2,10.0,0.56,0.2792951542242316,0.2935785152952781
10,0.2,10.0,0.58,0.2773847470796658,0.2935785152952781
10,0.2,10.0,0.6,0.2773716234011661,0.2935785152952781
10,0.2,10.0,0.62,0.2742986982954859,0.2935785152952781
10,0.2,10.0,0.64,0.278742242353778,0.2935785152952781
10,0.2,10.0,0.66,0.2738710815643634,0.2935785152952781
10,0.2,10.0,0.68,0.2690952439103413,0.2935785152952781
10,0.2,10.0,0.7000000000000001,0.2707379454021869,0.2935785152952781
10,0.2,10.0,0.72,0.2697995175769503,0.2935785152952781
10,0.2,10.0,0.74,0.2663602927854199,0.2935785152952781
10,0.2,15.0,0.0,0.4092679865771373,0.291632231048269
10,0.2,15.0,0.02,0.3731271234497292,0.291632231048269
10,0.2,15.0,0.04,0.3680370420755068,0.291632231048269
10,0.2,15.0,0.06,0.3592784583539397,0.291632231048269
10,0.2,15.0,0.08,0.3323491729493165,0.291632231048269
10,0.2,15.0,0.1,0.3145944900753608,0.291632231048269
10,0.2,15.0,0.12,0.2998635570614906,0.291632231048269
10,0.2,15.0,0.14,0.2950669141744452,0.291632231048269
10,0.2,15.0,0.16,0.2917925659319422,0.291632231048269
10,0.2,15.0,0.18,0.2779074802808875,0.291632231048269
10,0.2,15.0,0.2,0.2765517915063781,0.291632231048269
10,0.2,15.0,0.22,0.2902179730058304,0.291632231048269
10,0.2,15.0,0.24,0.2881002634378808,0.291632231048269
10,0.2,15.0,0.26,0.2870352587570787,0.291632231048269
10,0.2,15.0,0.28,0.2742251992469645,0.291632231048269
10,0.2,15.0,0.3,0.2720799193511265,0.291632231048269
10,0.2,15.0,0.32,0.2678921140481631,0.291632231048269
10,0.2,15.0,0.34,0.2643174812101991,0.291632231048269
10,0.2,15.0,0.36,0.26854932933713,0.291632231048269
10,0.2,15.0,0.38,0.2724532532991477,0.291632231048269
10,0.2,15.0,0.4,0.2711140290192482,0.291632231048269
